"year","election_type","state","votes","eligible_voters"
1998,"Midterm","Vermont",224382,444772
1998,"Midterm","Virginia",NA,4900523
1998,"Midterm","Washington",1939421,3930400
1998,"Midterm","West Virginia",405139,1388176
1998,"Midterm","Wisconsin",NA,3801514
1998,"Midterm","Wyoming",178401,350136
1996,"Presidential","Alabama",NA,3144249
1996,"Presidential","Alaska",245212,404180
1996,"Presidential","Arizona",1431342,3079908
1996,"Presidential","Arkansas",NA,1844689
1996,"Presidential","California",10263490,18644593
1996,"Presidential","Colorado",NA,2770252
1996,"Presidential","Connecticut",1410746,2337160
1996,"Presidential","Delaware",277418,528630
1996,"Presidential","District of Columbia",189210,398839
1996,"Presidential","Florida",5444245,10219294
1996,"Presidential","Georgia",2374650,5181708
1996,"Presidential","Hawaii",370230,820055
1996,"Presidential","Idaho",508030,825329
1996,"Presidential","Illinois",4418270,8215662
1996,"Presidential","Indiana",2195224,4302745
1996,"Presidential","Iowa",1251983,2098332
1996,"Presidential","Kansas",1073520,1856507
1996,"Presidential","Kentucky",1419592,2880808
1996,"Presidential","Louisiana",1804640,3087693
1996,"Presidential","Maine",NA,929970
1996,"Presidential","Maryland",1793991,3530148
1996,"Presidential","Massachusetts",2600278,4385268
1996,"Presidential","Michigan",3912261,6954059
1996,"Presidential","Minnesota",2211161,3319509
1996,"Presidential","Mississippi",NA,1949309
1996,"Presidential","Missouri",NA,3919885
1996,"Presidential","Montana",417232,645052
1996,"Presidential","Nebraska",686749,1188034
1996,"Presidential","Nevada",467657,1134065
1996,"Presidential","New Hampshire",513700,855287
1996,"Presidential","New Jersey",3105110,5456334
1996,"Presidential","New Mexico",579763,1172262
1996,"Presidential","New York",6439129,12175850
1996,"Presidential","North Carolina",NA,5435970
1996,"Presidential","North Dakota",271850,475898
1996,"Presidential","Ohio",4638108,8185999
1996,"Presidential","Oklahoma",1218248,2368311
1996,"Presidential","Oregon",1399180,2309051
1996,"Presidential","Pennsylvania",NA,9063470
1996,"Presidential","Rhode Island",NA,717041
1996,"Presidential","South Carolina",1203486,2731064
1996,"Presidential","South Dakota",329316,529793
1996,"Presidential","Tennessee",NA,3984092
1996,"Presidential","Texas",NA,12072149
1996,"Presidential","Utah",691016,1326919
1996,"Presidential","Vermont",261469,435687
1996,"Presidential","Virginia",2468229,4811632
1996,"Presidential","Washington",2293895,3829308
1996,"Presidential","West Virginia",653331,1386621
1996,"Presidential","Wisconsin",NA,3763240
1996,"Presidential","Wyoming",215844,345112
1994,"Midterm","Alabama",NA,3095745
1994,"Midterm","Alaska",216668,399435
1994,"Midterm","Arizona",1153724,2892171
1994,"Midterm","Arkansas",NA,1801161
1994,"Midterm","California",8900593,18479124
1994,"Midterm","Colorado",1173130,2648684
1994,"Midterm","Connecticut",1163829,2335579
1994,"Midterm","Delaware",201560,512941
1994,"Midterm","District of Columbia",186316,411886
1994,"Midterm","Florida",4305340,9810247
1994,"Midterm","Georgia",NA,4978431
1994,"Midterm","Hawaii",377011,808904
1994,"Midterm","Idaho",419330,784076
1994,"Midterm","Illinois",3219122,8175312
1994,"Midterm","Indiana",1609481,4235008
1994,"Midterm","Iowa",1022372,2077709
1994,"Midterm","Kansas",836251,1837694
1994,"Midterm","Kentucky",827541,2829881
1994,"Midterm","Louisiana",893758,3038660
1994,"Midterm","Maine",NA,918204
1994,"Midterm","Maryland",1437450,3480270
1994,"Midterm","Massachusetts",2232186,4353287
1994,"Midterm","Michigan",3177740,6856388
1994,"Midterm","Minnesota",1794618,3253779
